,Title,Earliest Semester Takeable,Prereqs,Coreqs,Exclusions,Notes,Semesters Available,Raw Prereqs
APM236H1,Applications of Linear Programming,"(1, 'Winter')!!",,,,,"Fall!!,Winter!!",MAT221H1/ MAT223H1/ MAT223H5/ MATA22H3/ MATA23H3/ MAT240H1/ MAT240H5
APM306Y1,Mathematics and Law,"(2, 'Fall-Winter')",,,,,Fall-Winter,"MAT133Y1/ MAT135H1/ MAT135H5/ MAT136H1/ MAT136H5/ MAT137Y1/ MAT137Y5/ (MAT137H5, MAT139H5)/ MAT157Y1/ MAT157Y5/ (MAT157H5, MAT159H5), MAT221H1/ MAT223H1/ MAT240H1"
APM346H1,Partial Differential Equations,"(3, 'Fall')!!",(MAT244H1/MAT267H1),,MAT351Y1,,"Fall!!,Winter!!","MAT235Y1/ MAT235Y5/ (MAT232H5, MAT236H5)/ (MATB41H3, MATB42H3)/ MAT237Y1/ MAT237Y5/ MAT257Y1, (MAT244H1/ MATB44H3/ MAT244H5/ MAT267H1)"
APM348H1,Mathematical Modelling,"(2, 'Winter')!!",MAT244H1;(STA237H1/STA247H1(unaccounted)/STA257H1/MAT377H1),,MAT482H1,,Winter!!,"MAT244H1/MAT267H1, MAT224H1/MAT247H1, STA237H1/STA247H1/STA257H1/MAT377H1"
APM421H1,Mathematical Foundations of Quantum Mechanics and Quantum Information Theory,"(4, 'Fall')",(MAT337H1)/MAT357H1,,,,Fall,"(MAT224H1/MAT247H1, MAT337H1)/ MAT357H1"
APM426H1,General Relativity,"(3, 'Winter')",MAT363H1,,,,Winter,MAT363H1/MAT367H1
APM441H1,Asymptotic and Perturbation Methods,"(4, 'Fall')",(APM346H1/MAT351Y1);(MAT334H1/MAT354H1),,,,Fall,"APM346H1/MAT351Y1, MAT334H1/MAT354H1"
APM446H1,Applied Nonlinear Equations,"(3, 'Winter')!!",APM346H1,,,,Winter!!,APM346H1/MAT351Y1
APM461H1,Combinatorial Methods,"(2, 'Winter')!!",MAT301H1,,,,Winter!!,"MAT224H1/ MAT247H1, MAT137Y1/ MAT137Y5/ (MAT137H5, MAT139H5)/ MAT157Y1/ MAT157Y5/ (MAT157H5, MAT159H5), MAT301H1/ MAT347Y1"
APM462H1,Nonlinear Optimization,"(3, 'Fall')!!",,,,,"Fall!!,Winter!!","(MAT223H1,MAT224H1) /MAT247H1, MAT235Y1/MAT237Y1/MAT257Y1"
APM466H1,Mathematical Theory of Finance,"(3, 'Winter')!!",APM346H1;STA347H1,STA457H1,,,Winter!!,"APM346H1, STA347H1"
APM496H1,Independent Readings in Applied Mathematics,"(1, 'Winter')",,,,Note: Need undergrad chair permission,"Fall,Winter",minimum GPA 3.5 for APM and MAT courses. Permission of the Associate Chair for Undergraduate Studies and of the prospective supervisor
CSC108H1,Introduction to Computer Programming,"(1, 'Winter')",,,"CSC110Y1,CSC111H1,CSC120H1,CSC121H1,CSC148H1",,"Fall!!,Winter",
CSC110Y1,Foundations of Computer Science I,"(0, 'Fall')!!",,,"CSC108H1,CSC148H1,CSC165H1",,Fall!!,
CSC111H1,Foundations of Computer Science II,"(1, 'Winter')!!",,,"CSC108H1,CSC148H1,CSC165H1",,Winter!!,CSC110Y1 (70% or higher)
CSC148H1,Introduction to Computer Science,"(2, 'Fall')!!",CSC108H1,,"CSC111H1,CSC207H1",(equivalent programming experience),"Fall!!,Winter!!",CSC108H1/ (equivalent programming experience)
CSC165H1,Mathematical Expression and Reasoning for Computer Science,"(1, 'Winter')!!",,CSC108H1/CSC120H1(unaccounted),"CSC111H1,CSC236H1,CSC240H1",(equivalent programming experience),Winter!!,
CSC194H1,Impactful Video Game Design,"(2, 'Fall')!!",,,,,Fall!!,
CSC196H1,Great Ideas in Computing,"(1, 'Winter')!!",,,,,Winter!!,
CSC199H1,"Intelligence, Artificial and Human","(2, 'Fall')!!",,,SMC199H1,,Fall!!,
CSC207H1,Software Design,"(2, 'Fall')",,,,,Fall,60% or higher in CSC148H1/ 60% or higher in CSC111H1
CSC209H1,Software Tools and Systems Programming,"(2, 'Winter')",CSC207H1,,"CSC372H1,CSC369H1,CSC469H1",,"Fall!!,Winter",CSC207H1/ CSC207H5/ CSCB07H3
CSC236H1,Introduction to the Theory of Computation,"(2, 'Fall')!!",,,CSC240H1,,Fall!!,"(60% or higher in CSC148H1, 60% or higher in CSC165H1) / (60% or higher in CSC111H1)"
CSC240H1,Enriched Introduction to the Theory of Computation,"(1, 'Winter')!!",,MAT137Y1,"CSC236H1,CSC263H1,CSC265H1","Uncleanable string: ""CSC110Y1 (with a minimum mark of at least 70%) / CSC165H1 (with a minimum mark of at least 85%) / students with a strong mathematical background who have not completed CSC110Y1 or CSC165H1 may enrol in CSC240H1 as an enriched alternative to CSC165H1""Uncleanable string: ""Corequisite: CSC111H1/ CSC148H1; MAT137Y1/ MAT157Y1. MAT135H1 and MAT136H1 do not provide appropriate preparation for CSC240H1. Students with programming experience equivalent to CSC111H1/ CSC148H1 or who have completed math courses equivalent to MAT137Y1/ MAT157Y may apply for a corequisite waiver.""",Winter!!,CSC110Y1 (with a minimum mark of at least 70%) / CSC165H1 (with a minimum mark of at least 85%) / students with a strong mathematical background who have not completed CSC110Y1 or CSC165H1 may enrol in CSC240H1 as an enriched alternative to CSC165H1
CSC258H1,Computer Organization,"(2, 'Fall')",,,,,"Fall,Winter!!","(60% or higher in (CSC148H1/ CSC148H5/ CSCA48H3), 60% or higher in (CSC165H1/ CSC240H1/ MAT102H5/ MATA67H3/ CSCA67H3))/ 60% or higher in CSC111H1"
CSC263H1,Data Structures and Analysis,"(2, 'Winter')!!",(STA237H1/STA247H1(unaccounted)/STA257H1/ECE302H1(unaccounted)/STA286H1(unaccounted)/CHE223H1(unaccounted)/CME263H1(unaccounted)/MIE231H1(unaccounted)/MIE236H1(unaccounted)/MSE238H1(unaccounted)/STA286H1(unaccounted)),,CSC265H1,,"Fall,Winter!!",CSC236H1/ ​CSC240H1/ CSC236H5/ CSCB36H3/ APS105H1/ APS106H1/ ESC180H1; STA237H1/ STA247H1/ ​STA255H1/ ​STA257H1/ STAB57H3/ STAB52H3/ ECE302H1/ STA286H1/ CHE223H1/ CME263H1/ MIE231H1/ MIE236H1/ MSE238H1/ STA286H1
CSC265H1,Enriched Data Structures and Analysis,"(2, 'Fall')",,,CSC263H1,"Uncleanable string: ""CSC240H1 (with a minimum mark of 70%)/ (CSC236H1 (with a minimum mark of 85%), MAT377H1/ STA237H1/ STA247H1/ STA255H1/ STA257H1). Notes: Students who have completed CSC240H1 must enrol in MAT377H1/ STA237H1/ STA247H1/ STA255H1/ STA257H1 concurrently with CSC265H1, if they have not already completed one of those courses. Students who have completed additional 200- or 300-level Mathematics courses may submit a prerequisite waiver request for permission to complete the statistics requirement as a co-requisite or to consider other courses as appropriate preparation for CSC265H1.""",Fall,"CSC240H1 (with a minimum mark of 70%)/ (CSC236H1 (with a minimum mark of 85%), MAT377H1/ STA237H1/ STA247H1/ STA255H1/ STA257H1). Notes: Students who have completed CSC240H1 must enrol in MAT377H1/ STA237H1/ STA247H1/ STA255H1/ STA257H1 concurrently with CSC265H1, if they have not already completed one of those courses. Students who have completed additional 200- or 300-level Mathematics courses may submit a prerequisite waiver request for permission to complete the statistics requirement as a co-requisite or to consider other courses as appropriate preparation for CSC265H1."
CSC299H1,Research Opportunity Program,"(2, 'Fall')",,,,,Fall,
CSC299Y1,Research Opportunity Program,"(2, 'Fall-Winter')",,,,,Fall-Winter,
CSC300H1,Computers and Society,"(1, 'Winter')!!",,,,Prereq: ,"Fall!!,Winter!!",0.5 credit in CSC
CSC301H1,Introduction to Software Engineering,"(3, 'Fall')!!",CSC209H1;(CSC263H1/CSC265H1),,,,"Fall!!,Winter!!","CSC209H1, CSC263H1/CSC265H1"
CSC309H1,Programming on the Web,"(3, 'Fall')!!",CSC209H1/ESC180H1(unaccounted)/ESC190H1(unaccounted)/CSC190H1(unaccounted)/(APS105H1(unaccounted);ECE244H1(unaccounted)),,,,"Fall!!,Winter!!","CSC209H1/ CSC209H5/ CSCB09H3/ ESC180H1/ ESC190H1/ CSC190H1/ (APS105H1, ECE244H1)"
CSC311H1,Introduction to Machine Learning,"(2, 'Winter')!!",(CSC207H1/APS105H1(unaccounted)/APS106H1(unaccounted)/ESC180H1(unaccounted)/CSC180H1(unaccounted));(MAT136H1/MAT291H1(unaccounted)/MAT294H1(unaccounted)/MAT187H1(unaccounted)/MAT195H1/ESC195H1(unaccounted));(STA237H1/STA247H1(unaccounted)/STA257H1/STA286H1(unaccounted)/CHE223H1(unaccounted)/CME263H1(unaccounted)/MIE231H1(unaccounted)/MIE236H1(unaccounted)/MSE238H1(unaccounted)/ECE286H1(unaccounted)),,"CSC411H1,STA314H1,ECE421H1","Uncleanable string: ""CSC207H1/ APS105H1/ APS106H1/ ESC180H1/ CSC180H1; MAT235Y1/​ MAT237Y1/​ MAT257Y1/​ (minimum of 77% in MAT135H1 and MAT136H1)/ (minimum of 73% in MAT137Y1)/ (minimum of 67% in MAT157Y1)/ MAT291H1/ MAT294H1/ (minimum of 77% in MAT186H1, MAT187H1)/ (minimum of 73% in MAT194H1, MAT195H1)/ (minimum of 73% in ESC194H1, ESC195H1); MAT223H1/ MAT240H1/ MAT185H1/ MAT188H1; STA237H1/ STA247H1/ STA255H1/ STA257H1/ STA286H1/ CHE223H1/ CME263H1/ MIE231H1/ MIE236H1/ MSE238H1/ ECE286H1""","Fall!!,Winter!!","CSC207H1/ APS105H1/ APS106H1/ ESC180H1/ CSC180H1; MAT235Y1/​ MAT237Y1/​ MAT257Y1/​ (minimum of 77% in MAT135H1 and MAT136H1)/ (minimum of 73% in MAT137Y1)/ (minimum of 67% in MAT157Y1)/ MAT291H1/ MAT294H1/ (minimum of 77% in MAT186H1, MAT187H1)/ (minimum of 73% in MAT194H1, MAT195H1)/ (minimum of 73% in ESC194H1, ESC195H1); MAT223H1/ MAT240H1/ MAT185H1/ MAT188H1; STA237H1/ STA247H1/ STA255H1/ STA257H1/ STA286H1/ CHE223H1/ CME263H1/ MIE231H1/ MIE236H1/ MSE238H1/ ECE286H1"
CSC316H1,Data Visualization: Foundations and Advanced Programming,"(2, 'Winter')!!",CSC207H1,,,,Winter!!,CSC207H1
CSC317H1,Computer Graphics,"(3, 'Fall')",,,CSC418H1,,Fall,"MAT235Y1/ MAT237Y1/ MAT257Y1/ MAT291H1/ MAT292H1/ MAT294H1/ (MAT232H5/ MAT233H5, MAT236H5)/ (MATB41H3, MATB42H3); MAT223H1/ MAT240H1/ MAT223H5/ MATA22H3/ MAT185H1/ MAT188H1; CSC209H1/ CSC209H5/ CSCB09H3/ proficiency in C or C++/ APS105H1/ ESC180H1/ CSC180H1"
CSC318H1,The Design of Interactive Computational Media,"(1, 'Winter')!!",ESC180H1(unaccounted)/ESC190H1(unaccounted)/APS105H1(unaccounted)/APS106H1(unaccounted),,,"Prereq: Uncleanable string: ""Any 0.5 credit in CSC/ ESC180H1/ ESC190H1/ APS105H1/ APS106H1""","Fall!!,Winter!!",Any 0.5 credit in CSC/ ESC180H1/ ESC190H1/ APS105H1/ APS106H1
CSC320H1,Introduction to Visual Computing,"(2, 'Winter')!!",(CSC265H1/ECE345H1(unaccounted)/ECE358H1(unaccounted)/MIE335H1(unaccounted)),,,,"Fall,Winter!!","CSC263H1/ CSC265H1/ ECE345H1/ ECE358H1/ MIE335H1, MAT223H1/ MAT240H1/ MAT185H1/ MAT188H1, ( MAT136H1 with a minimum mark of 77)/ (MAT137Y1 with a minimum mark of 73)/ (MAT157Y1 with a minimum mark of 67)/ MAT235Y1/ MAT237Y1/ MAT257Y1/ MAT291H1/ MAT292H1"
CSC324H1,Principles of Programming Languages,"(3, 'Fall')",CSC263H1/CSC265H1,,,,Fall,CSC263H1/CSC265H1
CSC336H1,Numerical Methods,"(2, 'Winter')!!",,,,,Winter!!,"CSC148H1/ CSC111H1; MAT133Y1(70%)/ (MAT135H1, MAT136H1)/ MAT135Y1/ MAT137Y1/ MAT157Y1, MAT223H1/ MAT240H1"
CSC343H1,Introduction to Databases,"(2, 'Winter')!!",(CSC207H1/ECE345H1(unaccounted)/ESC190H1(unaccounted)),,MIE253H1,,"Fall,Winter!!","CSC111H1/ CSC165H1/ ​CSC240H1/ ​(MAT135H1, MAT136H1)/ MAT135Y1/ MAT137Y1/ ​MAT157Y1/ (MAT186H1, MAT187H1)/ (MAT194H1, MAT195H1)/ (ESC194H1, ESC195H1); CSC207H1/ CSC207H5/ CSCB07H3/ ECE345H1/ ESC190H1"
CSC367H1,Parallel Programming,"(3, 'Winter')",CSC258H1;CSC209H1,,,,Winter,CSC258H1/ CSC258H5/ CSCB58H3; CSC209H1/ CSC209H5/ CSCB09H3 
CSC368H1,Computer Architecture,"(3, 'Winter')!!",CSC209H1;CSC258H1,,ECE552H1,,Winter!!,"CSC209H1, CSC258H1 "
